candidate_index,disease_local_id,disease_global_id,disease_mesh_id,disease_name,drug_local_id,drug_global_id,drugbank_id,drug_name,gene_local_id,gene_global_id,gene_entrez_id,gene_symbol,drug_gene_edge_in_ms,gene_disease_edge_in_ms,drug_disease_edge_in_ms,ms_motif
163,576,576,D002311,"Cardiomyopathy, Dilated",41,735,DB00195,betaxolol,17,1983,153,ADRB1,True,True,False,gene_star
164,600,600,D006940,Hyperemia,41,735,DB00195,betaxolol,17,1983,153,ADRB1,True,True,False,gene_star
165,651,651,D018754,Ventricular Dysfunction,41,735,DB00195,betaxolol,17,1983,153,ADRB1,True,True,False,gene_star
166,93,93,D006973,Hypertension,75,769,DB00248,cabergoline,17,1983,153,ADRB1,True,True,False,gene_star
167,94,94,D006333,Heart Failure,75,769,DB00248,cabergoline,17,1983,153,ADRB1,True,True,False,gene_star
168,96,96,D003920,Diabetes Mellitus,75,769,DB00248,cabergoline,17,1983,153,ADRB1,True,True,False,gene_star
169,106,106,D009765,Obesity,75,769,DB00248,cabergoline,17,1983,153,ADRB1,True,True,False,gene_star
170,162,162,D003866,Depressive Disorder,75,769,DB00248,cabergoline,17,1983,153,ADRB1,True,True,False,gene_star
171,266,266,D013274,Stomach Neoplasms,75,769,DB00248,cabergoline,17,1983,153,ADRB1,True,True,False,gene_star
172,548,548,D017202,Myocardial Ischemia,75,769,DB00248,cabergoline,17,1983,153,ADRB1,True,True,False,gene_star
173,576,576,D002311,"Cardiomyopathy, Dilated",75,769,DB00248,cabergoline,17,1983,153,ADRB1,True,True,False,gene_star
174,600,600,D006940,Hyperemia,75,769,DB00248,cabergoline,17,1983,153,ADRB1,True,True,False,gene_star
175,651,651,D018754,Ventricular Dysfunction,75,769,DB00248,cabergoline,17,1983,153,ADRB1,True,True,False,gene_star
176,94,94,D006333,Heart Failure,82,776,DB00264,metoprolol,17,1983,153,ADRB1,True,True,False,gene_star
177,96,96,D003920,Diabetes Mellitus,82,776,DB00264,metoprolol,17,1983,153,ADRB1,True,True,False,gene_star
178,106,106,D009765,Obesity,82,776,DB00264,metoprolol,17,1983,153,ADRB1,True,True,False,gene_star
179,162,162,D003866,Depressive Disorder,82,776,DB00264,metoprolol,17,1983,153,ADRB1,True,True,False,gene_star
180,266,266,D013274,Stomach Neoplasms,82,776,DB00264,metoprolol,17,1983,153,ADRB1,True,True,False,gene_star
181,548,548,D017202,Myocardial Ischemia,82,776,DB00264,metoprolol,17,1983,153,ADRB1,True,True,False,gene_star
182,576,576,D002311,"Cardiomyopathy, Dilated",82,776,DB00264,metoprolol,17,1983,153,ADRB1,True,True,False,gene_star
183,600,600,D006940,Hyperemia,82,776,DB00264,metoprolol,17,1983,153,ADRB1,True,True,False,gene_star
184,651,651,D018754,Ventricular Dysfunction,82,776,DB00264,metoprolol,17,1983,153,ADRB1,True,True,False,gene_star
185,93,93,D006973,Hypertension,115,809,DB00321,amitriptyline,17,1983,153,ADRB1,True,True,False,gene_star
186,94,94,D006333,Heart Failure,115,809,DB00321,amitriptyline,17,1983,153,ADRB1,True,True,False,gene_star
187,96,96,D003920,Diabetes Mellitus,115,809,DB00321,amitriptyline,17,1983,153,ADRB1,True,True,False,gene_star
188,106,106,D009765,Obesity,115,809,DB00321,amitriptyline,17,1983,153,ADRB1,True,True,False,gene_star
189,266,266,D013274,Stomach Neoplasms,115,809,DB00321,amitriptyline,17,1983,153,ADRB1,True,True,False,gene_star
190,548,548,D017202,Myocardial Ischemia,115,809,DB00321,amitriptyline,17,1983,153,ADRB1,True,True,False,gene_star
191,576,576,D002311,"Cardiomyopathy, Dilated",115,809,DB00321,amitriptyline,17,1983,153,ADRB1,True,True,False,gene_star
192,600,600,D006940,Hyperemia,115,809,DB00321,amitriptyline,17,1983,153,ADRB1,True,True,False,gene_star
193,651,651,D018754,Ventricular Dysfunction,115,809,DB00321,amitriptyline,17,1983,153,ADRB1,True,True,False,gene_star
